District,Market
Chittor,Kalikiri
East Godavari,Ravulapelem
Guntur,Guntur
Guntur,Tenali
Kurnool,Adoni
Kurnool,Adoni
Kurnool,Nandyal
Kurnool,Pattikonda
Nellore,Venkatagiri
Darbhanga,Bahadurpur (Ekmi Ghat)
Kaithar,"Gerabari, Korha Block"
Kishanganj,Bahadurganj
Bilaspur,Sakri
Bilaspur,Tiphra
Bilaspur,Tiphra
Bilaspur,Tiphra
Bilaspur,Tiphra
Dhamtari,Nagari
Durg,Durg
Durg,Durg
Durg,Durg
Jashpur,Pathalgaon
Kabirdham,Biranpur kalan (Sahaspur Lohra)
Kabirdham,Kawardha
Kanker,Antagarh
Kanker,Bhanupratappur
Mahasamund,Jhalap
Mungeli,Munguli
Mungeli,Munguli
Raipur,Arang
Rajnandgaon,Rajnandgaon
Rajnandgaon,Rajnandgaon
Rajnandgaon,Rajnandgaon
Surguja,Ambikapur
North Goa,Sanquelim
North Goa,Sanquelim
Ahmedabad,Bavla
Amreli,Amreli
Amreli,Amreli
Amreli,Amreli
Amreli,Amreli
Amreli,Bagasara
Amreli,Damnagar
Amreli,Dhari
Amreli,Savarkundla
Amreli,Savarkundla
Amreli,Savarkundla
Anand,"Anand(Veg,Yard,Anand)"
Anand,"Anand(Veg,Yard,Anand)"
Anand,Khambhat(Grain Market)
Banaskanth,Amirgadh
Banaskanth,Deesa(Bhildi)
Banaskanth,Deesa(Bhildi)
Banaskanth,Deesa(Deesa Veg Yard)
Banaskanth,Deesa(Deesa Veg Yard)
Banaskanth,Deesa(Deesa Veg Yard)
Banaskanth,Dhanera
Banaskanth,Dhanera
Banaskanth,Palanpur
Banaskanth,Panthawada
Banaskanth,Panthawada
Banaskanth,Panthawada
Banaskanth,Thara
Banaskanth,Tharad(Rah)
Banaskanth,Tharad(Rah)
Banaskanth,Vadgam
Banaskanth,Vav
Bharuch,Ankleshwar
Bharuch,Bharuch
Bharuch,Bharuch
Bharuch,Bharuch
Bharuch,Bharuch
Bharuch,Jambusar
Bharuch,Jambusar(Kaavi)
Bharuch,Jambusar(Kaavi)
Bhavnagar,Bhavnagar
Bhavnagar,Bhavnagar
Bhavnagar,Palitana
Bhavnagar,Taleja
Bhavnagar,Taleja
Bhavnagar,Taleja
Botad,Botad
Botad,Botad
Dahod,Dahod
Dahod,Dahod
Dahod,Dahod
Dahod,Dahod
Dahod,Dahod(Veg. Market)
Dahod,Dahod(Veg. Market)
Dahod,Dahod(Veg. Market)
Dahod,Dahod(Veg. Market)
Dahod,Davgadbaria(Piplod)
Dahod,Limkheda
Dahod,Zalod(Zalod)
Devbhumi Dwarka,Bhanvad
Devbhumi Dwarka,Jam Khambalia
Gandhinagar,Dehgam
Gandhinagar,Dehgam
Gandhinagar,Kalol
Gandhinagar,Kalol
Gandhinagar,"Kalol(Veg,Market,Kalol)"
Gandhinagar,"Kalol(Veg,Market,Kalol)"
Gandhinagar,"Kalol(Veg,Market,Kalol)"
Gandhinagar,"Kalol(Veg,Market,Kalol)"
Gandhinagar,"Kalol(Veg,Market,Kalol)"
Gandhinagar,"Kalol(Veg,Market,Kalol)"
Gir Somnath,Talalagir
Gir Somnath,Veraval
Jamnagar,Jamnagar
Jamnagar,Jamnagar
Jamnagar,Jamnagar
Junagarh,Bhesan
Junagarh,Junagadh
Junagarh,Junagadh
Junagarh,Junagadh
Junagarh,Junagadh
Junagarh,Junagadh
Junagarh,Junagadh
Junagarh,Junagadh
Junagarh,Visavadar
Kachchh,Anjar
Kachchh,Rapar
Kachchh,Rapar
Mehsana,Kadi
Mehsana,Mehsana(Jornang)
Mehsana,Mehsana(Mehsana Veg)
Mehsana,Mehsana(Mehsana Veg)
Mehsana,Mehsana(Mehsana Veg)
Mehsana,Unjha
Mehsana,Visnagar
Morbi,Halvad
Morbi,Morbi
Morbi,Morbi
Morbi,Morbi
Morbi,Morbi
Morbi,Morbi
Morbi,Morbi
Morbi,Morbi
Morbi,Vankaner
Morbi,Vankaner
